Price,Address,City,State,Postal,Floor Size,Longitude,Latitude,URL
"$154,900",4123 Land Rd,Ball Ground,GA,30107,1260,34.329025,-84.475624,https://www.zillow.com/homedetails/4123-Land-Rd-Ball-Ground-GA-30107/51093397_zpid/
"$358,000",4834 Summersun Dr,Morrow,GA,30260,2476,33.61081,-84.32649,https://www.zillow.com/homedetails/4834-Summersun-Dr-Morrow-GA-30260/250291908_zpid/
"$589,900",1199 Apperley Pl,Sandy Springs,GA,30350,3196,33.991558,-84.34799,https://www.zillow.com/homedetails/1199-Apperley-Pl-Sandy-Springs-GA-30350/112432745_zpid/
"$268,000",504 Morgan Valley Rd,Rockmart,GA,30153,1307,33.99879,-85.07657,https://www.zillow.com/homedetails/504-Morgan-Valley-Rd-Rockmart-GA-30153/71775229_zpid/
"$310,000",19 Dogwood Ln,Aragon,GA,30104,2093,34.045216,-85.07309,https://www.zillow.com/homedetails/19-Dogwood-Ln-Aragon-GA-30104/71786900_zpid/
"$467,000",171 Clements Cv,La Fayette,GA,30728,2200,34.7355,-85.26406,https://www.zillow.com/homedetails/171-Clements-Cv-La-Fayette-GA-30728/2054347021_zpid/
"$250,000",6105 N Highway 212,Covington,GA,30016,1664,33.523834,-84.00334,https://www.zillow.com/homedetails/6105-N-Highway-212-Covington-GA-30016/69866763_zpid/
"$550,000",3437 Hildon Rd,Atlanta,GA,30341,1429,33.891518,-84.315155,https://www.zillow.com/homedetails/3437-Hildon-Rd-Atlanta-GA-30341/14572217_zpid/
"$379,000",12343 Molly Sue Ln,Fayetteville,GA,30215,2494,33.421593,-84.401855,https://www.zillow.com/homedetails/12343-Molly-Sue-Ln-Fayetteville-GA-30215/35804313_zpid/
"$475,000",3123 Wanda Woods Dr,Atlanta,GA,30340,2242,33.88045,-84.22689,https://www.zillow.com/homedetails/3123-Wanda-Woods-Dr-Atlanta-GA-30340/14569683_zpid/
"$599,000",2008 Westside Ln,Woodstock,GA,30189,4199,34.118687,-84.55783,https://www.zillow.com/homedetails/2008-Westside-Ln-Woodstock-GA-30189/51103735_zpid/
"$359,990",459 Shoal Ct,Lawrenceville,GA,30046,1739,33.95224,-83.95513,https://www.zillow.com/homedetails/459-Shoal-Ct-Lawrenceville-GA-30046/14727520_zpid/
"$242,000",70 Berkeley Pl,Cartersville,GA,30121,1824,34.21628,-84.81248,https://www.zillow.com/homedetails/70-Berkeley-Pl-Cartersville-GA-30121/60084516_zpid/
"$270,000",3316 Estes Dr,South Fulton,GA,30349,1696,33.60394,-84.49744,https://www.zillow.com/homedetails/3316-Estes-Dr-South-Fulton-GA-30349/82614153_zpid/
"$475,000",70 Old Ivy Rd NE #8,Atlanta,GA,30342,1364,33.855423,-84.38011,https://www.zillow.com/homedetails/70-Old-Ivy-Rd-NE-8-Atlanta-GA-30342/2088491952_zpid/
"$281,000",874 Plainville Pl SW,Atlanta,GA,30331,1924,33.739838,-84.515915,https://www.zillow.com/homedetails/874-Plainville-Pl-SW-Atlanta-GA-30331/35874563_zpid/
"$400,000",2859 Creek Ct SW,Marietta,GA,30008,2014,33.883244,-84.59626,https://www.zillow.com/homedetails/2859-Creek-Ct-SW-Marietta-GA-30008/14343740_zpid/
"$339,800",10 Providence Dr,Covington,GA,30016,2401,33.506435,-84.01109,https://www.zillow.com/homedetails/10-Providence-Dr-Covington-GA-30016/69862145_zpid/
"$415,000",117 Cummings Ct,Ball Ground,GA,30107,2234,34.32862,-84.378716,https://www.zillow.com/homedetails/117-Cummings-Ct-Ball-Ground-GA-30107/337895484_zpid/
"$280,000",1 Cardinal Dr,Austell,GA,30168,942,33.80222,-84.63271,https://www.zillow.com/homedetails/1-Cardinal-Dr-Austell-GA-30168/49836030_zpid/
"$350,000",4094 Falcon Shores Ct NW,Acworth,GA,30101,1740,34.053635,-84.72164,https://www.zillow.com/homedetails/4094-Falcon-Shores-Ct-NW-Acworth-GA-30101/14371514_zpid/
"$525,000",1135 Powell Ct,Atlanta,GA,30316,1663,33.7221,-84.34382,https://www.zillow.com/homedetails/1135-Powell-Ct-Atlanta-GA-30316/14445978_zpid/
"$390,000",3625 Cherry Ridge Blvd,Decatur,GA,30034,2130,33.68134,-84.2404,https://www.zillow.com/homedetails/3625-Cherry-Ridge-Blvd-Decatur-GA-30034/14429728_zpid/
"$1,600,000",210 Brookings Ln,Peachtree City,GA,30269,6225,33.429756,-84.576965,https://www.zillow.com/homedetails/210-Brookings-Ln-Peachtree-City-GA-30269/60343747_zpid/
"$320,000",4581 Dorset Cir,Decatur,GA,30035,1846,33.718063,-84.2051,https://www.zillow.com/homedetails/4581-Dorset-Cir-Decatur-GA-30035/14442315_zpid/
"$419,900",1995 Hamilton Creek Pkwy,Dacula,GA,30019,2056,34.069313,-83.91504,https://www.zillow.com/homedetails/1995-Hamilton-Creek-Pkwy-Dacula-GA-30019/305284142_zpid/
"$384,900",2633 Autumn Lake Ln,Decatur,GA,30034,2900,33.6993,-84.21479,https://www.zillow.com/homedetails/2633-Autumn-Lake-Ln-Decatur-GA-30034/14436000_zpid/
"$400,000",4559 Brayden Dr,Gainesville,GA,30504,1885,34.257046,-83.87426,https://www.zillow.com/homedetails/4559-Brayden-Dr-Gainesville-GA-30504/299115752_zpid/
"$330,000",101 McArthur Dr,Locust Grove,GA,30248,1843,33.352604,-84.10484,https://www.zillow.com/homedetails/101-McArthur-Dr-Locust-Grove-GA-30248/87831011_zpid/
"$369,900",1159 Paris Dr,Hampton,GA,30228,3413,33.45167,-84.35441,https://www.zillow.com/homedetails/1159-Paris-Dr-Hampton-GA-30228/84683301_zpid/
"$630,000",821 Hood Rd,Fayetteville,GA,30214,4350,33.45762,-84.48696,https://www.zillow.com/homedetails/821-Hood-Rd-Fayetteville-GA-30214/14595438_zpid/
"$630,000",1503 Barksdale Ct NW,Kennesaw,GA,30152,3877,33.99139,-84.670616,https://www.zillow.com/homedetails/1503-Barksdale-Ct-NW-Kennesaw-GA-30152/14384802_zpid/
"$1,975,000",153 Jackson Ridge Dr,Monticello,GA,31064,4686,33.342712,-83.85974,https://www.zillow.com/homedetails/153-Jackson-Ridge-Dr-Monticello-GA-31064/337770619_zpid/
"$275,000",3772 Stanford Cir,Decatur,GA,30034,0,33.67151,-84.21639,https://www.zillow.com/homedetails/3772-Stanford-Cir-Decatur-GA-30034/14426497_zpid/
"$620,000",5041 Garrett Ct,Johns Creek,GA,30005,2364,34.062183,-84.210785,https://www.zillow.com/homedetails/5041-Garrett-Ct-Johns-Creek-GA-30005/171602168_zpid/
"$130,000",1998 Mack Rd,Douglasville,GA,30135,848,33.751232,-84.68005,https://www.zillow.com/homedetails/1998-Mack-Rd-Douglasville-GA-30135/49844223_zpid/
"$439,000",8160 Castleberry Farms Dr,Gainesville,GA,30506,2070,34.291622,-84.00476,https://www.zillow.com/homedetails/8160-Castleberry-Farms-Dr-Gainesville-GA-30506/60947302_zpid/
"$235,000",917 Brandon Hill Way,Jonesboro,GA,30238,1364,33.51967,-84.421394,https://www.zillow.com/homedetails/917-Brandon-Hill-Way-Jonesboro-GA-30238/35792531_zpid/
"$150,000",168 Edgewater Dr,Eatonton,GA,31024,1404,33.23549,-83.40105,https://www.zillow.com/homedetails/168-Edgewater-Dr-Eatonton-GA-31024/76595846_zpid/
"$294,500",1204 Creekside Ct,Monroe,GA,30655,1614,33.78654,-83.635796,https://www.zillow.com/homedetails/1204-Creekside-Ct-Monroe-GA-30655/2142978249_zpid/
